"Station","Order","Date","WY","WYClass","Inundation","fWY","Season1","Season2","Season3","fMonth","VolumeAdj","CPUEDaily","CountDaily"
"SHR","Amphipoda",2016-10-04,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","10",17.2767548847549,0,0
"SHR","Amphipoda",2016-10-05,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","10",26.6388349308349,0.113,3
"SHR","Amphipoda",2016-10-19,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","10",25.1651132651133,0.08,2
"SHR","Amphipoda",2016-10-31,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","10",19.697869049869,0,0
"SHR","Amphipoda",2016-11-01,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","11",31.9021265941266,0.313,10
"SHR","Amphipoda",2016-11-14,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","11",19.9412962892963,0,0
"SHR","Amphipoda",2016-11-18,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","11",31.8823892503893,0.125,4
"SHR","Amphipoda",2016-11-28,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","11",8.48705780705781,0,0
"SHR","Amphipoda",2016-11-29,2017,"Wet",FALSE,"2017","Wet","Winter","Fall","11",32.0995000315,0.249,8
"SHR","Amphipoda",2016-12-14,2017,"Wet",TRUE,"2017","Wet","Winter","Fall","12",26.2769836289836,0.038,1
"SHR","Amphipoda",2016-12-21,2017,"Wet",TRUE,"2017","Wet","Winter","Fall","12",37.2245625086625,0,0
"SHR","Amphipoda",2016-12-21,2017,"Wet",TRUE,"2017","Wet","Winter","Fall","12",43.1220094941095,0,0
"SHR","Amphipoda",2016-12-27,2017,"Wet",TRUE,"2017","Wet","Winter","Fall","12",47.2747950796951,0,0
"SHR","Amphipoda",2016-12-29,2017,"Wet",TRUE,"2017","Wet","Winter","Fall","12",20.2601876645877,0,0
"SHR","Amphipoda",2017-01-10,2017,"Wet",TRUE,"2017","Wet","Winter","Winter","1",23.1566941787942,0.216,5
"SHR","Amphipoda",2017-01-11,2017,"Wet",TRUE,"2017","Wet","Winter","Winter","1",4.86846534996535,0,0
"SHR","Amphipoda",2017-01-18,2017,"Wet",TRUE,"2017","Wet","Winter","Winter","1",29.4073736659737,0,0
"SHR","Amphipoda",2017-01-23,2017,"Wet",TRUE,"2017","Wet","Winter","Winter","1",16.1626906444906,0.062,1
"SHR","Amphipoda",2017-01-24,2017,"Wet",TRUE,"2017","Wet","Winter","Winter","1",50.6320396396396,0,0
"SHR","Amphipoda",2017-02-02,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","2",51.8729607761608,0,0
"SHR","Amphipoda",2017-02-06,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","2",47.8737545391545,0,0
"SHR","Amphipoda",2017-02-07,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","2",20.2110422730423,0,0
"SHR","Amphipoda",2017-02-16,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","2",39.2548814968815,0,0
"SHR","Amphipoda",2017-02-22,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","2",23.4914971586972,0,0
"SHR","Amphipoda",2017-02-23,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","2",19.0438392238392,0,0
"SHR","Amphipoda",2017-03-08,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","3",20.1035367290367,0.1,2
"SHR","Amphipoda",2017-03-09,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","3",53.6575528066528,0,0
"SHR","Amphipoda",2017-03-14,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","3",58.2526469161469,0,0
"SHR","Amphipoda",2017-03-21,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","3",16.3377711018711,0.061,1
"SHR","Amphipoda",2017-03-28,2017,"Wet",TRUE,"2017","Wet","Spring","Winter","3",34.5707113652114,0,0
"SHR","Amphipoda",2017-04-04,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","4",16.3224131670132,0.061,1
"SHR","Amphipoda",2017-04-05,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","4",40.08420997921,0,0
"SHR","Amphipoda",2017-04-13,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","4",29.3029397089397,0,0
"SHR","Amphipoda",2017-04-18,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","4",40.7845318087318,0,0
"SHR","Amphipoda",2017-04-19,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","4",19.7165167706168,0.051,1
"SHR","Amphipoda",2017-04-26,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","4",35.1604560637561,0,0
"SHR","Amphipoda",2017-05-04,2017,"Wet",TRUE,"2017","Dry","Spring","Spring","5",17.0688088011088,0.411,7
